total_time,testing_time,training_time,epoch
11013.0,76.0,10937.0,0.0
10656.0,78.0,10578.0,1.0
10577.0,77.0,10499.0,2.0
10850.0,82.0,10768.0,3.0
12963.0,145.0,12818.0,4.0
12055.0,75.0,11979.0,5.0
11008.0,61.0,10946.0,6.0
10563.0,75.0,10488.0,7.0
10007.0,56.0,9951.0,8.0
10027.0,58.0,9969.0,9.0
10625.0,79.0,10546.0,10.0
9913.0,55.0,9858.0,11.0
9958.0,63.0,9895.0,12.0
10808.0,70.0,10737.0,13.0
9484.0,52.0,9432.0,14.0
9164.0,54.0,9110.0,15.0
11076.0,72.0,11004.0,16.0
9870.0,57.0,9812.0,17.0
9684.0,62.0,9621.0,18.0
11432.0,75.0,11356.0,19.0
11270.0,66.0,11204.0,20.0
11281.0,68.0,11212.0,21.0
11354.0,72.0,11281.0,22.0
11328.0,66.0,11261.0,23.0
11234.0,65.0,11169.0,24.0
10232.0,55.0,10177.0,25.0
9240.0,57.0,9183.0,26.0
9182.0,60.0,9122.0,27.0
9240.0,56.0,9183.0,28.0
9384.0,55.0,9329.0,29.0
9442.0,71.0,9370.0,30.0
9334.0,57.0,9276.0,31.0
9265.0,54.0,9210.0,32.0
9135.0,57.0,9078.0,33.0
9266.0,67.0,9198.0,34.0
9189.0,55.0,9134.0,35.0
9230.0,57.0,9172.0,36.0
9203.0,55.0,9147.0,37.0
9245.0,56.0,9188.0,38.0
9136.0,56.0,9079.0,39.0
9227.0,56.0,9171.0,40.0
9299.0,54.0,9244.0,41.0
9288.0,57.0,9231.0,42.0
9261.0,62.0,9199.0,43.0
9172.0,59.0,9113.0,44.0
9213.0,54.0,9158.0,45.0
9150.0,58.0,9091.0,46.0
9219.0,56.0,9162.0,47.0
9201.0,55.0,9146.0,48.0
9579.0,56.0,9523.0,49.0
