total_time,testing_time,training_time,epoch
4540.0,95.0,4444.0,0.0
4494.0,101.0,4392.0,1.0
5229.0,124.0,5104.0,2.0
4984.0,95.0,4889.0,3.0
4438.0,98.0,4340.0,4.0
5384.0,142.0,5241.0,5.0
4935.0,88.0,4846.0,6.0
4696.0,87.0,4609.0,7.0
4577.0,81.0,4495.0,8.0
5099.0,124.0,4975.0,9.0
4480.0,96.0,4384.0,10.0
4596.0,87.0,4508.0,11.0
4637.0,82.0,4555.0,12.0
4556.0,82.0,4473.0,13.0
4542.0,84.0,4457.0,14.0
4577.0,93.0,4484.0,15.0
4570.0,79.0,4491.0,16.0
5134.0,85.0,5048.0,17.0
4787.0,81.0,4705.0,18.0
4622.0,106.0,4515.0,19.0
4667.0,84.0,4582.0,20.0
4920.0,86.0,4833.0,21.0
4983.0,84.0,4899.0,22.0
4608.0,90.0,4517.0,23.0
4645.0,84.0,4560.0,24.0
4515.0,83.0,4432.0,25.0
4435.0,81.0,4353.0,26.0
4764.0,92.0,4672.0,27.0
4504.0,80.0,4423.0,28.0
4463.0,91.0,4372.0,29.0
4642.0,87.0,4555.0,30.0
4767.0,86.0,4681.0,31.0
5300.0,99.0,5201.0,32.0
5884.0,93.0,5791.0,33.0
5210.0,82.0,5128.0,34.0
5181.0,100.0,5080.0,35.0
5024.0,98.0,4925.0,36.0
4693.0,96.0,4597.0,37.0
4520.0,83.0,4437.0,38.0
4775.0,92.0,4683.0,39.0
4803.0,96.0,4707.0,40.0
4454.0,91.0,4363.0,41.0
4606.0,93.0,4513.0,42.0
4405.0,90.0,4315.0,43.0
4382.0,96.0,4285.0,44.0
4420.0,93.0,4327.0,45.0
4602.0,119.0,4482.0,46.0
4969.0,111.0,4858.0,47.0
4533.0,91.0,4441.0,48.0
4397.0,97.0,4300.0,49.0
